+----------+------------+----------------+
| # Epoch  | Train_loss | Train_Accuracy |
+----------+------------+----------------+
| epoch 1  |   0.5968   |     0.6854     |
| epoch 2  |   0.5106   |     0.7767     |
| epoch 3  |   0.4568   |     0.8013     |
| epoch 4  |   0.4335   |     0.8143     |
| epoch 5  |   0.4337   |     0.8120     |
| epoch 6  |   0.4321   |     0.8113     |
| epoch 7  |   0.4152   |     0.8254     |
| epoch 8  |   0.3757   |     0.8373     |
| epoch 9  |   0.3480   |     0.8484     |
| epoch 10 |   0.3396   |     0.8678     |
| epoch 11 |   0.3184   |     0.8700     |
| epoch 12 |   0.3153   |     0.8770     |
| epoch 13 |   0.2882   |     0.8893     |
| epoch 14 |   0.2730   |     0.8923     |
| epoch 15 |   0.2511   |     0.8967     |
| epoch 16 |   0.2348   |     0.9094     |
| epoch 17 |   0.2386   |     0.9079     |
| epoch 18 |   0.2288   |     0.9120     |
| epoch 19 |   0.2403   |     0.9116     |
| epoch 20 |   0.2234   |     0.9164     |
| epoch 21 |   0.2008   |     0.9216     |
| epoch 22 |   0.2094   |     0.9250     |
| epoch 23 |   0.1841   |     0.9309     |
| epoch 24 |   0.1705   |     0.9383     |
| epoch 25 |   0.1845   |     0.9354     |
| epoch 26 |   0.1613   |     0.9428     |
| epoch 27 |   0.1800   |     0.9473     |
| epoch 28 |   0.1454   |     0.9517     |
| epoch 29 |   0.1690   |     0.9536     |
| epoch 30 |   0.1468   |     0.9513     |
| epoch 31 |   0.1596   |     0.9476     |
| epoch 32 |   0.1714   |     0.9309     |
| epoch 33 |   0.1494   |     0.9499     |
| epoch 34 |   0.1514   |     0.9491     |
| epoch 35 |   0.1266   |     0.9539     |
| epoch 36 |   0.1263   |     0.9591     |
| epoch 37 |   0.1224   |     0.9595     |
| epoch 38 |   0.1127   |     0.9681     |
+----------+------------+----------------+
