+----------+------------+----------------+
| # Epoch  | Train_loss | Train_Accuracy |
+----------+------------+----------------+
| epoch 1  |   0.5869   |     0.6880     |
| epoch 2  |   0.5024   |     0.7637     |
| epoch 3  |   0.4673   |     0.7864     |
| epoch 4  |   0.4296   |     0.8094     |
| epoch 5  |   0.4103   |     0.8269     |
| epoch 6  |   0.4018   |     0.8265     |
| epoch 7  |   0.3658   |     0.8395     |
| epoch 8  |   0.3275   |     0.8640     |
| epoch 9  |   0.3355   |     0.8722     |
| epoch 10 |   0.3171   |     0.8696     |
| epoch 11 |   0.2866   |     0.8830     |
| epoch 12 |   0.2762   |     0.8964     |
| epoch 13 |   0.2645   |     0.9068     |
| epoch 14 |   0.2969   |     0.8785     |
| epoch 15 |   0.2777   |     0.8874     |
| epoch 16 |   0.2466   |     0.9134     |
| epoch 17 |   0.2454   |     0.9101     |
| epoch 18 |   0.2157   |     0.9160     |
| epoch 19 |   0.2245   |     0.9175     |
| epoch 20 |   0.2238   |     0.9224     |
| epoch 21 |   0.2103   |     0.9272     |
| epoch 22 |   0.1964   |     0.9339     |
| epoch 23 |   0.1833   |     0.9313     |
| epoch 24 |   0.1721   |     0.9465     |
| epoch 25 |   0.1730   |     0.9387     |
| epoch 26 |   0.1470   |     0.9476     |
| epoch 27 |   0.1668   |     0.9513     |
| epoch 28 |   0.1476   |     0.9469     |
| epoch 29 |   0.1803   |     0.9532     |
| epoch 30 |   0.1455   |     0.9491     |
| epoch 31 |   0.1496   |     0.9506     |
| epoch 32 |   0.1566   |     0.9450     |
| epoch 33 |   0.1561   |     0.9510     |
| epoch 34 |   0.1624   |     0.9354     |
| epoch 35 |   0.1411   |     0.9517     |
| epoch 36 |   0.1381   |     0.9547     |
| epoch 37 |   0.1229   |     0.9569     |
| epoch 38 |   0.1214   |     0.9625     |
| epoch 39 |   0.1205   |     0.9584     |
| epoch 40 |   0.1112   |     0.9599     |
| epoch 41 |   0.0999   |     0.9658     |
| epoch 42 |   0.0908   |     0.9718     |
| epoch 43 |   0.1345   |     0.9662     |
| epoch 44 |   0.1496   |     0.9655     |
| epoch 45 |   0.1172   |     0.9591     |
| epoch 46 |   0.0935   |     0.9699     |
| epoch 47 |   0.0903   |     0.9721     |
| epoch 48 |   0.0827   |     0.9718     |
| epoch 49 |   0.0949   |     0.9747     |
| epoch 50 |   0.0880   |     0.9692     |
| epoch 51 |   0.0841   |     0.9744     |
| epoch 52 |   0.0896   |     0.9677     |
+----------+------------+----------------+
