+----------+------------+----------------+
| # Epoch  | Train_loss | Train_Accuracy |
+----------+------------+----------------+
| epoch 1  |   0.6135   |     0.6586     |
| epoch 2  |   0.5148   |     0.7608     |
| epoch 3  |   0.4777   |     0.7764     |
| epoch 4  |   0.4573   |     0.7964     |
| epoch 5  |   0.4336   |     0.8169     |
| epoch 6  |   0.4204   |     0.8154     |
| epoch 7  |   0.3977   |     0.8295     |
| epoch 8  |   0.3671   |     0.8444     |
| epoch 9  |   0.3633   |     0.8492     |
| epoch 10 |   0.3392   |     0.8622     |
| epoch 11 |   0.3409   |     0.8577     |
| epoch 12 |   0.3283   |     0.8685     |
| epoch 13 |   0.2998   |     0.8871     |
| epoch 14 |   0.2838   |     0.8938     |
| epoch 15 |   0.2700   |     0.8938     |
| epoch 16 |   0.2551   |     0.9042     |
| epoch 17 |   0.2708   |     0.9023     |
| epoch 18 |   0.2575   |     0.8964     |
| epoch 19 |   0.2654   |     0.9086     |
| epoch 20 |   0.2552   |     0.9090     |
| epoch 21 |   0.2447   |     0.9068     |
| epoch 22 |   0.2278   |     0.9123     |
| epoch 23 |   0.1973   |     0.9250     |
| epoch 24 |   0.1764   |     0.9365     |
| epoch 25 |   0.1720   |     0.9365     |
| epoch 26 |   0.1633   |     0.9458     |
| epoch 27 |   0.2071   |     0.9331     |
| epoch 28 |   0.1674   |     0.9387     |
| epoch 29 |   0.1670   |     0.9569     |
| epoch 30 |   0.1653   |     0.9473     |
| epoch 31 |   0.1688   |     0.9372     |
| epoch 32 |   0.1491   |     0.9491     |
| epoch 33 |   0.1535   |     0.9539     |
| epoch 34 |   0.1890   |     0.9372     |
+----------+------------+----------------+
