+----------+------------+----------------+
| # Epoch  | Train_loss | Train_Accuracy |
+----------+------------+----------------+
| epoch 1  |   0.5942   |     0.6712     |
| epoch 2  |   0.4887   |     0.7704     |
| epoch 3  |   0.4468   |     0.8046     |
| epoch 4  |   0.4421   |     0.8154     |
| epoch 5  |   0.4150   |     0.8202     |
| epoch 6  |   0.4106   |     0.8377     |
| epoch 7  |   0.3843   |     0.8458     |
| epoch 8  |   0.3758   |     0.8403     |
| epoch 9  |   0.3458   |     0.8559     |
| epoch 10 |   0.3386   |     0.8659     |
| epoch 11 |   0.3397   |     0.8685     |
| epoch 12 |   0.3486   |     0.8536     |
| epoch 13 |   0.3171   |     0.8737     |
| epoch 14 |   0.2952   |     0.8893     |
| epoch 15 |   0.2827   |     0.8915     |
| epoch 16 |   0.2579   |     0.8960     |
| epoch 17 |   0.2397   |     0.9116     |
| epoch 18 |   0.2548   |     0.9071     |
| epoch 19 |   0.2327   |     0.9127     |
| epoch 20 |   0.2230   |     0.9224     |
| epoch 21 |   0.2231   |     0.9220     |
| epoch 22 |   0.1971   |     0.9294     |
| epoch 23 |   0.1797   |     0.9380     |
| epoch 24 |   0.1648   |     0.9417     |
| epoch 25 |   0.1784   |     0.9424     |
| epoch 26 |   0.1758   |     0.9346     |
| epoch 27 |   0.1728   |     0.9528     |
| epoch 28 |   0.1810   |     0.9368     |
| epoch 29 |   0.2032   |     0.9320     |
| epoch 30 |   0.1865   |     0.9398     |
| epoch 31 |   0.1838   |     0.9339     |
| epoch 32 |   0.2052   |     0.9350     |
| epoch 33 |   0.1917   |     0.9261     |
| epoch 34 |   0.1714   |     0.9383     |
| epoch 35 |   0.1338   |     0.9573     |
| epoch 36 |   0.1444   |     0.9532     |
| epoch 37 |   0.1335   |     0.9554     |
| epoch 38 |   0.1343   |     0.9651     |
| epoch 39 |   0.1388   |     0.9584     |
| epoch 40 |   0.1460   |     0.9435     |
| epoch 41 |   0.1306   |     0.9565     |
| epoch 42 |   0.1383   |     0.9510     |
| epoch 43 |   0.1626   |     0.9599     |
+----------+------------+----------------+
